Standard Accident Type,Deaths,Injuries,Rescue Time (hrs),Severity,Estimated Ambulances Required,Estimated Structural Damage Cost (INR)
Fire,27.0,0.0,7,27.0,14,8400000
Collision,52.0,0.0,4,52.0,19,4500000
Collision,45.0,335.0,7,380.0,187,6000000
Derailment,15.0,0.0,4,15.0,8,5000000
Collision,400.0,0.0,7,400.0,126,6000000
Collision,60.0,0.0,7,60.0,24,4500000
Collision,35.0,0.0,5,35.0,15,3600000
Collision,25.0,0.0,7,25.0,14,3600000
Bombing,33.0,0.0,7,33.0,16,12000000
Bombing,33.0,0.0,7,33.0,16,12000000
Collision,12.0,0.0,4,12.0,7,3000000
Collision,75.0,0.0,2,75.0,25,4500000
Derailment,81.0,0.0,5,81.0,29,7500000
Derailment,0.0,0.0,1,0.0,1,5000000
Bombing,10.0,70.0,5,80.0,42,15000000
Collision,70.0,0.0,7,70.0,27,4500000
Derailment,11.0,50.0,5,61.0,33,7500000
Collision,24.0,32.0,7,56.0,29,4500000
Collision,19.0,27.0,7,46.0,25,3600000
Collision,20.0,33.0,2,53.0,25,4500000
Collision,227.0,0.0,7,227.0,74,6000000
Collision,17.0,200.0,7,217.0,111,6000000
Collision,298.0,349.0,7,647.0,270,6000000
Derailment,50.0,500.0,5,550.0,269,10000000
Derailment,20.0,100.0,7,120.0,62,10000000
Collision,45.0,150.0,5,195.0,93,6000000
Derailment,52.0,300.0,7,352.0,172,10000000
Attack,58.0,43.0,7,101.0,45,6000000
Attack,0.0,200.0,7,200.0,106,6000000
Derailment,12.0,80.0,7,92.0,50,7500000
Collision,30.0,29.0,7,59.0,30,4500000
Derailment,140.0,0.0,4,140.0,46,10000000
Fire,36.0,15.0,7,51.0,24,10500000
Derailment,52.0,26.0,7,78.0,35,7500000
Derailment,21.0,24.0,5,45.0,23,6000000
Derailment,14.0,0.0,7,14.0,10,5000000
Collision,37.0,50.0,7,87.0,42,4500000
Bombing,13.0,50.0,7,63.0,35,15000000
Derailment,16.0,100.0,5,116.0,59,10000000
Derailment,0.0,0.0,3,0.0,3,5000000
Derailment,114.0,200.0,4,314.0,138,10000000
Bombing,230.0,790.0,5,1020.0,468,20000000
Bombing,7.0,53.0,5,60.0,33,15000000
Structure Collapse,17.0,0.0,5,17.0,10,3000000
Attack,0.0,0.0,3,0.0,3,3000000
Derailment,0.0,32.0,4,32.0,20,6000000
Fire,40.0,0.0,3,40.0,15,8400000
Fire,0.0,0.0,6,0.0,5,7000000
Collision,4.0,0.0,4,4.0,5,3000000
Collision,21.0,0.0,7,21.0,12,3000000
Collision,0.0,0.0,1,0.0,1,3000000
Collision,10.0,51.0,5,61.0,33,4500000
Collision,0.0,0.0,3,0.0,3,3000000
Derailment,0.0,0.0,3,0.0,3,5000000
Collision,0.0,0.0,8,0.0,7,3000000
Collision,4.0,0.0,4,4.0,5,3000000
Derailment,0.0,0.0,6,0.0,5,5000000
Derailment,0.0,11.0,4,11.0,9,5000000
Derailment,140.0,200.0,7,340.0,148,10000000
Collision,5.0,0.0,5,5.0,6,3000000
Derailment,0.0,27.0,3,27.0,16,6000000
Collision,66.0,0.0,7,66.0,26,4500000
Collision,4.0,0.0,4,4.0,5,3000000
Collision,4.0,0.0,4,4.0,5,3000000
Collision,0.0,0.0,3,0.0,3,3000000
Derailment,0.0,0.0,3,0.0,3,5000000
Collision,38.0,30.0,7,68.0,32,4500000
Derailment,70.0,300.0,5,370.0,175,10000000
Derailment,0.0,113.0,5,113.0,61,10000000
Derailment,0.0,0.0,1,0.0,1,5000000
Collision,3.0,200.0,5,203.0,105,6000000
Collision,10.0,60.0,7,70.0,39,4500000
Fire,7.0,0.0,5,7.0,7,7000000
Derailment,0.0,20.0,3,20.0,13,5000000
Collision,5.0,9.0,4,14.0,10,3000000
Collision,3.0,1.0,2,4.0,3,3000000
Collision,15.0,0.0,4,15.0,8,3000000
Collision,0.0,2.0,1,2.0,2,3000000
Collision,25.0,43.0,3,68.0,32,4500000
Derailment,5.0,15.0,5,20.0,13,5000000
Collision,1.0,4.0,3,5.0,5,3000000
Fire,47.0,25.0,5,72.0,31,10500000
Fire,1.0,0.0,2,1.0,2,7000000
Collision,0.0,0.0,8,0.0,7,3000000
Collision,0.0,71.0,4,71.0,39,4500000
Derailment,1.0,1.0,5,2.0,5,5000000
Collision,35.0,0.0,5,35.0,15,3600000
Collision,10.0,20.0,3,30.0,16,3600000
Collision,0.0,10.0,3,10.0,8,3000000
Derailment,4.0,12.0,4,16.0,11,5000000
Fire,26.0,12.0,3,38.0,17,8400000
Derailment,1.0,9.0,3,10.0,8,5000000
Bombing,1.0,14.0,5,15.0,12,10000000
Derailment,20.0,100.0,5,120.0,60,10000000
Collision,25.0,58.0,5,83.0,41,4500000
Derailment,4.0,8.0,2,12.0,7,5000000
Collision,20.0,0.0,4,20.0,10,3000000
Derailment,12.0,100.0,5,112.0,58,10000000
Derailment,58.0,150.0,5,208.0,97,10000000
Derailment,5.0,59.0,5,64.0,35,7500000
Derailment,31.0,100.0,7,131.0,65,10000000
Derailment,0.0,39.0,4,39.0,23,6000000
Derailment,2.0,7.0,4,9.0,8,5000000
Derailment,2.0,13.0,7,15.0,13,5000000
Derailment,0.0,0.0,1,0.0,1,5000000
Collision,0.0,7.0,8,7.0,10,3000000
Derailment,0.0,0.0,3,0.0,3,5000000
Collision,1.0,22.0,2,23.0,13,3000000
Derailment,152.0,260.0,7,412.0,182,10000000
Derailment,2.0,6.0,5,8.0,8,5000000
Derailment,0.0,0.0,6,0.0,5,5000000
Derailment,0.0,44.0,4,44.0,26,6000000
Derailment,41.0,69.0,5,110.0,51,10000000
Bombing,0.0,10.0,6,10.0,10,10000000
Derailment,0.0,52.0,5,52.0,30,7500000
Derailment,0.0,24.0,4,24.0,16,5000000
Derailment,23.0,97.0,5,120.0,60,10000000
Derailment,0.0,100.0,4,100.0,54,10000000
Derailment,3.0,9.0,5,12.0,10,5000000
Derailment,0.0,0.0,1,0.0,1,5000000
Derailment,0.0,0.0,3,0.0,3,5000000
Fire,1.0,1.0,6,2.0,6,7000000
Collision,5.0,4.0,4,9.0,7,3000000
Derailment,7.0,0.0,2,7.0,4,5000000
Collision,59.0,100.0,5,159.0,72,6000000
Derailment,0.0,0.0,3,0.0,3,5000000
Derailment,0.0,0.0,1,0.0,1,5000000
Derailment,0.0,15.0,4,15.0,11,5000000
Fire,0.0,0.0,3,0.0,3,7000000
Collision,1.0,16.0,5,17.0,13,3000000
Collision,16.0,0.0,5,16.0,9,3000000
Collision,3.0,0.0,4,3.0,5,3000000
Derailment,0.0,0.0,3,0.0,3,5000000
Collision,2.0,0.0,2,2.0,3,3000000
Derailment,9.0,0.0,5,9.0,7,5000000
Derailment,0.0,2.0,1,2.0,2,5000000
Collision,2.0,0.0,4,2.0,4,3000000
Collision,2.0,0.0,4,2.0,4,3000000
Derailment,0.0,10.0,6,10.0,10,5000000
Attack,3.0,8.0,2,11.0,7,3000000
Derailment,0.0,0.0,8,0.0,7,5000000
Collision,296.0,1289.0,7,1585.0,739,6000000
Derailment,0.0,0.0,6,0.0,5,5000000
Derailment,0.0,0.0,8,0.0,7,5000000
Derailment,0.0,0.0,8,0.0,7,5000000
Fire,0.0,0.0,8,0.0,7,7000000
Collision,0.0,0.0,3,0.0,3,3000000
Fire,0.0,0.0,8,0.0,7,7000000
Structure Collapse,26.0,0.0,5,26.0,12,3600000
Fire,9.0,20.0,5,29.0,17,8400000
Fire,0.0,0.0,1,0.0,1,7000000
Derailment,0.0,0.0,3,0.0,3,5000000
Derailment,4.0,70.0,4,74.0,40,7500000
Collision,14.0,50.0,2,64.0,31,4500000
Derailment,0.0,0.0,3,0.0,3,5000000
Fire,0.0,0.0,1,0.0,1,7000000
Structure Collapse,3.0,34.0,4,37.0,22,3600000
Collision,2.0,0.0,4,2.0,4,3000000
Structure Collapse,1.0,1.0,4,2.0,4,3000000
Collision,10.0,60.0,5,70.0,37,4500000
Derailment,4.0,32.0,5,36.0,22,6000000
Derailment,2.0,20.0,2,22.0,13,5000000
Derailment,0.0,0.0,1,0.0,1,5000000
